tt1275778;Questo piccolo grande amore;Questo piccolo grande amore;2009;12.2.2009;Comedy, Romance;110;Italy;Italian;Riccardo Donna;Claudio Baglioni, Ivan Cotroneo;11 Marzo Film;Emanuele Bosi, Maria P. Petruolo, Daniela Giordano, Mariella Valentini, Federico Galante, Claudio Cotugno, Valentino Campitelli, Giulia Amato, Veronica Corsi, Matteo Urzia, Stefano Masciolini, Veronica Bruni, Giancarlo Previati, Piero Cardano, Andrea Gherpelli;From the album of the same name by Claudio Baglioni the film tells the love story of two teenagers during the legendary seventies. A story so overwhelming as to compel the world to retreat,...;4.jun;242;;;$ 4878552;;;8.0
tt1275863;L'amore ieri e oggi;Love Aaj Kal;2009;31.7.2009;Comedy, Drama, Romance;128;India;Hindi;Imtiaz Ali;Imtiaz Ali;Illuminati Films;Saif Ali Khan, Deepika Padukone, Rishi Kapoor, Rahul Khanna, Florence Brudenell-Bruce, Giselli Monteiro, Raj Zutshi, Nirupama Verma, Gunjas Singh, Chandan Anand, Dhirendra Divedi, Sanjay Gandhi, Rajinder Sharma Nanu, Vir Das, Kavi Shastri;An old-fashioned romantic tells his personal love story to a modern man who has just broken up with his girlfriend. Has love really ever changed?;6.avg;14663;;$ 2430083;$ 20794985;;66.0;16.0
tt1275891;Jal al-ji-do mot-ha-myeon-seo;Jal al-ji-do mot-ha-myeon-seo;2009;14.5.2009;Drama;126;South Korea;Korean;Sang-soo Hong;Sang-soo Hong;;Tae-woo Kim, Ji-won Uhm, Hyun-Jung Go, Hyeong-jin Kong, Do-rim Choi, Chang-gyoon Go, Jung-woo Ha, Seon-hyeong Hwang, Yu-mi Jung, Jong-seok Kim, Yeon-su Kim, Geum-rak Lee, Jong-mu Lee, Chang-gil Moon, Su-min Park;Delightfully comic exploration of the emotional and social geography of an art-house film director.;7.0;665;$ 100000;;$ 210951;;3.0;24.0
tt1275954;Sumasshedshaya pomoshch;Sumasshedshaya pomoshch;2009;22.8.2009;Comedy;119;Russia;Russian;Boris Khlebnikov;Boris Khlebnikov, Aleksandr Rodionov;Central Partnership;Evgeniy Sytyy, Sergey Dreyden, Anna Mikhalkova, Igor Chernevich, Nikita Emshanov, Aleksandr Gordon, Kirill K??ro, Aleksandr Yatsenko;Kind and lazy Jenya comes to Moscow from small village in Belarus for earnings... Criminal incident unexpectedly separates Jenya from companions and leaves him alone without money and ...;6.jul;394;;;$ 10063;;1.0;2.0
tt1276105;Saint John of Las Vegas;Saint John of Las Vegas;2009;10.6.2009;Comedy, Drama;85;USA;English;Hue Rhodes;Hue Rhodes;Circle of Confusion;Steve Buscemi, Romany Malco, Sarah Silverman, Peter Dinklage, Jesse Garcia, John Cho, Tim Blake Nelson, Matthew McDuffie, Emmanuelle Chriqui, Ben Zeller, Aviva Baumann, Shawn Prince, Danny Trejo, Stephen Eiland, Josh Berry;An ex-gambler is lured back into the game by a veteran insurance-fraud investigator.;5.jul;2779;$ 3800000;$ 102645;$ 111731;32.0;12.0;39.0
tt1276110;Charlie & Boots;Charlie & Boots;2009;3.9.2009;Adventure, Comedy, Drama;101;Australia;English;Dean Murphy;Stewart Faichney, Dean Murphy;Instinct Entertainment;Paul Hogan, Alan Powell, Deborah Kennedy, Shane Jacobson, Morgan Griffin, Di Smith, Roy Billing, Reg Evans, Val Lehman, Alec Wilson, Anne Phelan, Beverley Dunn, Danny Baldwin, Scott Harrison, Stewart Faichney;A father and son who travel from Victoria to Cape York to fulfill their lifelong ambition to fish off Australia's northern tip.;6.apr;1385;AUD 8000000;;$ 3449690;;22.0;8.0
tt1276982;Sculpture;Sculpture;2009;22.7.2009;Horror;88;USA;English;Pete Jacelone;Paul Quintero, Marv Blauvelt;THR Productions;Raine Brown, Erin Brown, Dustin Kerns, Marv Blauvelt, Susan Adriensen, Alan Rowe Kelly, Michael R. Thomas, John Bonavia, Brandi Thokey, Nick Giorgio, Austin Dossey, Jeremy Mulkey, David Gilkey, Max Wettstein, Anthony Catanzaro;An aspiring artist is commissioned to create a life-size sculpture of some perfect men, but soon finds herself spiraling down a path of unspeakable psychopathic terror and murder as she frantically tries to complete her masterpiece.;3.jan;156;;;;;4.0;4.0
tt1278124;Snarveien;Snarveien;2009;31.7.2009;Horror, Thriller;77;Norway;Norwegian, Swedish;Severin Eskeland;Severin Eskeland;Exposed Film Productions AS;Marte Germaine Christensen, Sondre Krogtoft Larsen, Jens Hult?©n, Johan Hedenberg, Malin King, Inga Didong Harrie, Jeppe Beck Laursen, Knut Walle, Mikkel Gaup, Kai Kolstad R??dseth, Eileen Kvaale R??st;Explore your worst possible fears in this shocking horror thriller inspired by terrifying true events! Driving back to Norway, Lina and Martin reach a roadblock where a policeman tells them...;5.feb;1366;;;$ 741099;;10.0;23.0
tt1278134;Usta;Usta;2009;8.5.2009;Drama;118;Turkey;Turkish;Bahadir Karatas;Bahadir Karatas, Yildiz Tun?§;FIST Production;Yetkin Dikinciler, Fadik Sevin Atasoy, Sevket ??oruh, Hasibe Eren, Ozan Uygun;;7.0;508;;;$ 403642;;1.0;1.0
tt1278180;Kenny Begins;Kenny Begins;2009;25.3.2009;Action, Comedy, Sci-Fi;87;Sweden;Swedish;Mats Lindberg, Carl ?…strand;Lars Johansson, Mats Lindberg;Film i Sk?Ñne;Johan Rheborg, Bill Skarsg?Ñrd, Carla Abrahamsen, Jan Mybrand, Brasse Br??nnstr?¶m, Cecilia Frode, Per Svensson, Josephine Bornebusch, Kalle Moraeus, Pernilla August, Rosie Anderberg, Yankai Yu, Heyes Jemide, Bj?¶rn Gustafsson, Sissela Kyle;Kenny Starfighter is probably the most hopeless student the Hero academy of the galaxy has ever had. But in his desperate attempt in graduating he accidentally crashes on earth and meets ...;5.avg;1676;SEK 34000000;;$ 1190768;;5.0;4.0
